total_events_h12,event_type_diversity_h12,unique_repos_h12,last_active_minute_h12,first_active_minute_h12,activity_duration_h12,push_count_h12,pr_count_h12,minutes_since_last_action_h12,is_active_next_hour,total_events_h12_capped,unique_repos_h12_capped,events_per_repo,diversity_score,log_total_events,is_bot_suspect
1,1,1,13,13,0.0,1.0,0.0,47,0,1,1,0.5,1.0,0.6931471805599453,0
2,1,1,51,49,1.4142135623730951,0.0,0.0,9,0,2,1,1.0,0.5,1.0986122886681098,0
1,1,1,55,55,0.0,1.0,0.0,5,0,1,1,0.5,1.0,0.6931471805599453,0
2,1,1,20,6,9.899494936611665,0.0,0.0,40,0,2,1,1.0,0.5,1.0986122886681098,0
4,3,1,50,43,3.366501646120692,2.0,0.0,10,0,4,1,2.0,0.75,1.6094379124341003,0
92,1,1,59,0,16.934572388966107,92.0,0.0,1,1,45,1,22.5,0.022222222222222223,3.828641396489095,0
2,1,1,55,53,1.4142135623730951,0.0,0.0,5,0,2,1,1.0,0.5,1.0986122886681098,0
7,3,2,58,19,13.347016788138731,2.0,1.0,2,0,7,2,2.3333333333333335,0.42857142857142855,2.0794415416798357,0
1,1,1,12,12,0.0,1.0,0.0,48,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,35,35,0.0,1.0,0.0,25,1,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,5,5,0.0,0.0,0.0,55,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,39,39,0.0,1.0,0.0,21,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,59,59,0.0,0.0,0.0,1,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,10,10,0.0,1.0,0.0,50,0,1,1,0.5,1.0,0.6931471805599453,0
4,1,2,47,14,14.247806848775006,4.0,0.0,13,1,4,2,1.3333333333333333,0.25,1.6094379124341003,0
1,1,1,55,55,0.0,1.0,0.0,5,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,56,56,0.0,0.0,0.0,4,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,52,52,0.0,1.0,0.0,8,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,19,19,0.0,0.0,0.0,41,0,1,1,0.5,1.0,0.6931471805599453,0
4,1,1,45,20,11.387127235025815,4.0,0.0,15,1,4,1,2.0,0.25,1.6094379124341003,0
3,1,1,57,27,15.695009822658072,3.0,0.0,3,0,3,1,1.5,0.3333333333333333,1.3862943611198906,0
1,1,1,12,12,0.0,0.0,0.0,48,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,54,54,0.0,1.0,0.0,6,0,1,1,0.5,1.0,0.6931471805599453,0
14,1,1,44,2,13.43625569245268,14.0,0.0,16,1,14,1,7.0,0.07142857142857142,2.70805020110221,0
6,1,2,2,0,0.983192080250175,0.0,0.0,58,0,6,2,2.0,0.16666666666666666,1.9459101490553132,0
4,1,1,50,47,1.499999999999999,4.0,0.0,10,0,4,1,2.0,0.25,1.6094379124341003,0
2,1,1,34,18,11.313708498984761,2.0,0.0,26,0,2,1,1.0,0.5,1.0986122886681098,0
3,2,1,44,39,2.88675134594813,1.0,0.0,16,1,3,1,1.5,0.6666666666666666,1.3862943611198906,0
1,1,1,49,49,0.0,0.0,0.0,11,0,1,1,0.5,1.0,0.6931471805599453,0
3,1,1,26,21,2.6457513110645907,3.0,0.0,34,0,3,1,1.5,0.3333333333333333,1.3862943611198906,0
4,1,1,56,0,24.143667216615345,4.0,0.0,4,0,4,1,2.0,0.25,1.6094379124341003,0
9,1,2,55,24,15.767406607020419,9.0,0.0,5,1,9,2,3.0,0.1111111111111111,2.302585092994046,0
6,1,1,51,0,19.42592769127556,6.0,0.0,9,1,6,1,3.0,0.16666666666666666,1.9459101490553132,0
2,1,1,55,45,7.0710678118654755,0.0,0.0,5,0,2,1,1.0,0.5,1.0986122886681098,0
4,1,1,59,20,16.859715300087366,4.0,0.0,1,1,4,1,2.0,0.25,1.6094379124341003,0
2,1,1,10,10,0.0,2.0,0.0,50,0,2,1,1.0,0.5,1.0986122886681098,0
6,2,2,17,8,3.4641016151377544,2.0,0.0,43,0,6,2,2.0,0.3333333333333333,1.9459101490553132,0
1,1,1,20,20,0.0,1.0,0.0,40,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,13,13,0.0,1.0,0.0,47,1,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,47,47,0.0,0.0,0.0,13,0,1,1,0.5,1.0,0.6931471805599453,0
55,1,1,58,0,16.744102937003916,55.0,0.0,2,1,45,1,22.5,0.022222222222222223,3.828641396489095,0
1,1,1,34,34,0.0,1.0,0.0,26,0,1,1,0.5,1.0,0.6931471805599453,0
2,1,1,44,1,30.405591591021544,2.0,0.0,16,0,2,1,1.0,0.5,1.0986122886681098,0
2,1,1,52,50,1.4142135623730951,0.0,0.0,8,0,2,1,1.0,0.5,1.0986122886681098,0
3,3,2,21,7,7.094598884597588,1.0,1.0,39,0,3,2,1.0,1.0,1.3862943611198906,0
2,1,1,57,54,2.1213203435596424,0.0,0.0,3,0,2,1,1.0,0.5,1.0986122886681098,0
2,1,2,55,29,18.384776310850235,0.0,0.0,5,0,2,2,0.6666666666666666,0.5,1.0986122886681098,0
2,1,1,32,29,2.1213203435596424,2.0,0.0,28,0,2,1,1.0,0.5,1.0986122886681098,0
7,1,1,41,3,16.8508866518169,7.0,0.0,19,1,7,1,3.5,0.14285714285714285,2.0794415416798357,0
